PC	std.dev	percent	cumulative
1	7.615044746758387	0.14497	0.14497
2	6.822713615964245	0.11637	0.26135
3	6.632236450097584	0.10997	0.37131
4	5.499730707351246	0.07562	0.44693
5	4.6031783909788	0.05297	0.4999
6	4.2926480901386395	0.04607	0.54597
7	4.155998355121977	0.04318	0.58915
8	3.8355569006570143	0.03678	0.62593
9	3.7946717966132977	0.036	0.66193
10	3.7129572171236864	0.03447	0.69639
11	3.5628657590492487	0.03174	0.72813
12	3.4616254183551187	0.02996	0.75809
13	3.325155093138139	0.02764	0.78573
14	3.267420835632192	0.02669	0.81242
15	3.1805366294668245	0.02529	0.83771
16	3.097114605866993	0.02398	0.86169
17	2.7827831829729113	0.01936	0.88105
18	2.641920034583568	0.01745	0.8985
19	2.4458872872695276	0.01496	0.91345
20	2.4061185040761126	0.01447	0.92793
21	2.234937518414568	0.01249	0.94041
22	2.1849013123542305	0.01193	0.95235
23	2.089290290157262	0.01091	0.96326
24	1.9801637135541066	0.0098	0.97306
25	1.5281441980386836	0.00584	0.9789
26	1.5098465754949488	0.0057	0.9846
27	1.4185792182442107	0.00503	0.98963
28	1.3158269212829374	0.00433	0.99396
29	1.2051388541488546	0.00363	0.99759
30	0.9817309699538227	0.00241	1
31	3.8333330310059276e-15	0	1
